,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,pos,neg,neutral,pos_neg_ratio
27,Die Hard,1988,R,2h 12min,Action; Thriller; ,20 July 1988 (USA),8.2,763300,912,https://www.imdb.com/title/tt0095016/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7919010123734533,0.19910011248593926,0.008998875140607425,3.977401129943503
28,Avengers: Endgame,2019,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019 (USA),8.4,736177,8805,https://www.imdb.com/title/tt4154796/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7096182506018571,0.28384730024074284,0.006534449157399977,2.5
29,Iron Man 3,2013,PG-13,2h 10min,Action; Adventure; Sci-Fi; ,3 May 2013 (USA),7.2,735568,1314,https://www.imdb.com/title/tt1300854/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4353120243531202,0.5441400304414004,0.02054794520547945,0.8
30,Thor,2011,PG-13,1h 55min,Action; Adventure; Fantasy; ,6 May 2011 (USA),7.0,726753,915,https://www.imdb.com/title/tt0800369/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7136612021857923,0.2797814207650273,0.006557377049180328,2.55078125
31,300,2006,R,1h 57min,Action; Drama; ,9 March 2007 (USA),7.6,719421,2176,https://www.imdb.com/title/tt0416449/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.534712643678161,0.45195402298850573,0.013333333333333334,1.1831129196337742
32,Captain America: The First Avenger,2011,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,22 July 2011 (USA),6.9,718921,882,https://www.imdb.com/title/tt0458339/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6643990929705216,0.3231292517006803,0.012471655328798186,2.056140350877193
33,Avengers: Age of Ultron,2015,PG-13,2h 21min,Action; Adventure; Sci-Fi; ,1 May 2015 (USA),7.3,717521,1303,https://www.imdb.com/title/tt2395427/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5771297006907138,0.40905602455871065,0.013814274750575594,1.4108818011257036
34,Captain America: The Winter Soldier,2014,PG-13,2h 16min,Action; Adventure; Sci-Fi; ,4 April 2014 (USA),7.7,714445,937,https://www.imdb.com/title/tt1843866/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8377801494130203,0.15795090715048027,0.004268943436499467,5.304054054054054
35,Star Wars: Episode I - The Phantom Menace,1999,PG,2h 16min,Action; Adventure; Fantasy; ,19 May 1999 (USA),6.5,708990,3843,https://www.imdb.com/title/tt0120915/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.501975243613379,0.48643666052146434,0.011588095865156703,1.0319436924742826
36,Iron Man 2,2010,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,7 May 2010 (USA),7.0,701922,881,https://www.imdb.com/title/tt1228705/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5618615209988649,0.4267877412031782,0.011350737797956867,1.3164893617021276
37,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,2h 20min,Action; Adventure; Fantasy; ,19 May 2005 (USA),7.5,690205,3553,https://www.imdb.com/title/tt0121766/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6778372289495916,0.3125880033793298,0.009574767671078569,2.1684684684684683
38,The Revenant,2015,R,2h 36min,Action; Adventure; Drama; ,8 January 2016 (USA),8.0,678829,1594,https://www.imdb.com/title/tt1663202/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7181933842239185,0.27353689567430023,0.00826972010178117,2.625581395348837
39,Man of Steel,2013,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,14 June 2013 (USA),7.0,675229,2747,https://www.imdb.com/title/tt0770828/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7054969057153259,0.2835820895522388,0.010921004732435385,2.4878048780487805
40,Blade Runner,1982,R,1h 57min,Action; Sci-Fi; Thriller; ,25 June 1982 (USA),8.1,673121,1541,https://www.imdb.com/title/tt0083658/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.7891963109354414,0.20553359683794467,0.005270092226613966,3.83974358974359
